(40.7499,-73.9875,323314)
(40.7352,-73.9898,237055)
(40.7656,-73.9798,68514)
(40.7605,-73.9834,63455)
(40.7414,-73.9889,51092)
(40.7647,-73.9722,48027)
(40.7183,-74.0001,46392)
(40.7019,-74.0126,39050)
(40.7306,-73.9922,38129)
(40.7242,-73.9976,37986)
(40.7195,-74.0016,27665)
(40.7451,-73.9885,26795)
(40.7104,-74.0111,9218)
(40.7135,-74.0067,7397)
(40.708,-74.0127,5687)
